#,Player,MVP,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
180,Engin Atsur,0,TREV,31,14.4,4.4,1.5,4.0,363,0.7,2.3,306,0.8,1.0,774,0.5,0.6,1.1,1.1,0.7,0.1,1.2,1.9
181,Colin Falls,0,ORL,14,16.1,4.4,1.5,4.6,323,1.2,3.9,315,0.1,0.2,667,0.1,1.1,1.3,0.4,0.5,0.1,0.8,0.9
182,Mindaugas Zukauskas,0,PES,34,17.3,4.4,1.4,2.9,485,0.8,1.8,426,0.8,0.9,966,1.0,1.6,2.6,0.8,1.0,0.1,0.9,2.8
183,Mike Wilks,0,SANA,3,16.3,4.3,1.3,5.3,250,0.0,1.0,0,1.7,1.7,1.00,1.0,2.7,3.7,1.7,1.3,0.0,0.3,2.3
184,"Rodolfo Valenti, Jr.",0,CAN,17,13.2,4.3,1.8,3.4,534,0.3,1.2,238,0.4,0.6,545,0.7,1.6,2.3,0.7,1.1,0.5,0.8,1.7
185,Angelo Gigli,0,TREV,26,18.1,4.3,1.6,4.4,365,0.3,1.6,214,0.7,1.3,545,2.0,2.3,4.3,0.6,0.8,0.5,0.8,2.0
186,Donnie McGrath,0,BOL,25,17.5,4.2,1.3,3.6,363,0.9,2.6,348,0.7,0.9,739,0.3,1.0,1.3,0.6,0.6,0.0,0.9,1.6
187,Valerio Spinelli,0,SCAF,5,22.0,4.2,1.6,3.8,421,0.4,1.6,250,0.6,0.8,750,0.8,1.4,2.2,2.6,1.2,0.0,1.2,1.0
188,Peter Lisicky,0,AVE,27,11.3,4.2,1.3,2.7,500,1.0,2.1,500,0.5,0.5,1.00,0.4,0.7,1.1,0.7,0.5,0.0,0.7,0.8
189,Luca Lechthaler,0,MON,39,13.1,4.2,1.5,2.5,586,0.0,0.0,0,1.2,1.8,681,1.3,2.2,3.5,0.0,0.9,0.2,0.9,2.5
190,Wade Helliwell,0,SOLS,33,18.4,4.1,1.5,3.2,467,0.0,0.0,0,1.2,2.1,551,1.1,2.2,3.4,0.5,0.8,0.2,1.4,2.7
191,Pietro Aradori,0,MIL,18,10.9,4.1,1.2,3.1,400,0.5,1.3,391,1.1,1.2,909,0.8,1.8,2.6,0.4,0.8,0.1,0.7,1.6
192,Alessandro Cittadini,0,BOL,32,12.8,4.0,1.6,2.7,588,0.2,0.5,333,0.7,1.2,622,0.9,1.5,2.4,0.4,0.7,0.4,1.2,2.4
193,Keith McLeod,0,SANA,4,13.3,4.0,1.3,3.3,385,1.0,2.5,400,0.5,0.5,1.00,0.0,0.3,0.3,0.8,1.3,0.0,1.8,2.3
